"代码","名称","市场","行业分类","分类来源"
"002916","深南电路","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002916&sdate=1990-01-01&edate=2026-07-24）"
"002938","鹏鼎控股","深交所主板","元件","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002938&sdate=1990-01-01&edate=2026-07-24）"
"002952","亚世光电","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002952&sdate=1990-01-01&edate=2026-07-24）"
"002955","鸿合科技","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002955&sdate=1990-01-01&edate=2026-07-24）"
"002962","五方光电","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002962&sdate=1990-01-01&edate=2026-07-24）"
"002983","芯瑞达","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002983&sdate=1990-01-01&edate=2026-07-24）"
"002992","宝明科技","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=002992&sdate=1990-01-01&edate=2026-07-24）"
"003015","日久光电","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=003015&sdate=1990-01-01&edate=2026-07-24）"
"003019","宸展光电","深交所主板","光学光电子","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=003019&sdate=1990-01-01&edate=2026-07-24）"
"003031","中瓷电子","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=003031&sdate=1990-01-01&edate=2026-07-24）"
"003040","楚天龙","深交所主板","通信设备","巨潮资讯WebAPI p_stock2110（申银万国行业分类标准F001V=008003；当前记录F008C=1；查询日2026-07-24；https://webapi.cninfo.com.cn/api/stock/p_stock2110?scode=003040&sdate=1990-01-01&edate=2026-07-24）"
